contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
151	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	69
152	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	65
153	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	62
154	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	62
155	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	58
156	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	58
157	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	58
158	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	55
159	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	55
160	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	47
161	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	46
162	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	46
163	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	43
164	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	43
165	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	43
166	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	37
167	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	35
168	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	34
169	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	19
170	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	19
171	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	19
172	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	19
173	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	18
174	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	18
175	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	15
176	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	11
177	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	11
178	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	11
179	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	10
180	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	10
181	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	7
182	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	7
183	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	6
184	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	6
185	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	5
186	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	4
187	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	4
188	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	4
189	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
190	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
191	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
192	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
193	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
194	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
195	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
196	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
197	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
198	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
199	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
200	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
201	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
202	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
203	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
204	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
205	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
206	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
207	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
208	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
209	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
210	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
211	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
212	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
213	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
214	1	0	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
215	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
216	0	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1
